char,pinyin,definition,radical_char,radical_index,stroke_count,hsk_level,general_standard,frequency_rank
第,dì,"sequence, number; grade, degree",竹,118.5,11,2,2322,114.0
公,gōng,"fair, equitable; public; duke",八,12.2,4,2,148,115.0
已,yǐ,already; finished; stop,己,49.0,3,2,61,117.0
情,qíng,"feeling, sentiment, emotion",心,61.8,11,2,2438,120.0
知,zhī,"know, perceive, comprehend",矢,111.3,8,2,1122,123.0
正,zhèng,"right, proper, correct",止,77.1,5,2,198,129.0
外,wài,"out, outside, external; foreign",夕,36.2,5,2,293,131.0
两,liǎng,"two, both, pair, couple; ounce",一,1.6,7,2,697,133.0
间,jiān,"midpoint, space; place, locality",門,169.4,7,2,847,135.0
问,wèn,"ask about, inquire after",門,169.3,6,2,528,137.0
最,zuì,"most, extremely, exceedingly",曰,73.8,12,2,2614,139.0
手,shǒu,hand,手,64.0,4,2,121,143.0
体,tǐ,"body; group, class, body, unit; inferior",人,9.5,7,2,770,149.0
等,děng,,竹,118.6,12,2,2681,158.0
新,xīn,"new, recent, fresh, modern",斤,69.9,13,2,2994,161.0
身,shēn,"body; trunk, hull; rad. no. 158",身,158.0,7,2,786,164.0
表,biǎo,"show, express, manifest, display",衣,145.3,8,2,951,177.0
给,gěi,"give; by, for",糸,120.6,9,2,1758,180.0
次,cì,"order, sequence; next",欠,76.2,6,2,521,183.0
门,mén,"gate, door, entrance, opening",門,169.0,3,2,55,185.0
常,cháng,"common, normal, frequent, regular",巾,50.8,11,2,2257,187.0
教,jiào,"teach, class",攴,66.7,11,2,2179,191.0
比,bǐ,"to compare, liken; comparison; than",比,81.0,4,2,105,199.0
员,yuán,"member; personnel, staff member",口,30.4,7,2,737,200.0
真,zhēn,"real, actual, true, genuine",目,109.5,10,2,1832,204.0
走,zǒu,"walk, go on foot; run; leave",走,156.0,7,2,625,207.0
条,tiáo,"clause, condition; string, stripe",木,75.3,7,2,816,214.0
题,tí,"forehead; title, headline; theme",頁,181.9,15,2,3233,218.0
别,bié,"separate, other; do not",刀,18.5,7,2,751,222.0
报,bào,"report, tell, announce",手,64.4,7,2,656,234.0
务,wù,"affairs, business; must, should",夂,34.2,5,2,297,245.0
场,chǎng,"open space, field, market",土,32.3,6,2,367,249.0
件,jiàn,numerary adjunct for article; matter,人,9.4,6,2,466,250.0
便,biàn,"convenience, ease; expedient",人,9.7,9,2,1556,271.0
司,sī,"take charge of, control, manage; officer",口,30.2,5,2,325,278.0
眼,yǎn,"eye; eyelet, hole, opening",目,109.6,11,2,2263,281.0
非,fēi,"not, negative, non-; oppose",非,175.0,8,2,1064,283.0
白,bái,"white; pure, unblemished; bright",白,106.0,5,2,275,286.0
思,sī,"think, consider, ponder; final particle",心,61.5,9,2,1500,298.0
完,wán,"complete, finish, settle; whole",宀,40.4,7,2,877,301.0
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",色,139.0,6,2,509,304.0
路,lù,"road, path, street; journey",足,157.6,13,2,2918,305.0
告,gào,"tell, announce, inform; accuse",口,30.4,7,2,760,310.0
边,biān,"edge, margin, side, border",辵,162.2,5,2,337,316.0
望,wàng,"to look at, look forward; to hope, expect",月,74.7,11,2,2394,326.0
共,gòng,"together with, all, total; to share",八,12.4,6,2,371,330.0
让,ràng,"allow, permit, yield, concede",言,149.3,5,2,317,339.0
运,yùn,"run; simplified form of 運 luck, fortune; ship, transport",辵,162.4,7,2,611,345.0
笑,xiào,"smile, laugh, giggle; snicker",竹,118.4,10,2,1952,346.0
步,bù,"step, pace; walk, stroll",止,77.3,7,2,710,349.0
每,měi,"every, each",毋,80.3,7,2,767,359.0
快,kuài,"rapid, quick, speedy, fast; soon",心,61.4,7,2,876,366.0
往,wǎng,"go, depart; past, formerly",彳,60.5,8,2,1160,369.0
近,jìn,"near, close; approach; intimate",辵,162.4,7,2,791,374.0
夫,fū,"man, male adult, husband; those",大,37.1,4,2,79,377.0
准,zhǔn,"approve, allow, permit; in accord",冫,15.8,10,2,2024,379.0
始,shǐ,"begin, start; then, only then",女,38.5,8,2,1329,381.0
远,yuǎn,"distant, remote, far; profound",辵,162.4,7,2,608,386.0
备,bèi,"prepare, ready, perfect",夂,34.5,8,2,1200,397.0
百,bǎi,"one hundred; numerous, many",白,106.1,6,2,389,407.0
离,lí,rare beast; strange; elegant,禸,114.6,10,2,2035,418.0
病,bìng,"illness, sickness, disease",疒,104.5,10,2,2027,427.0
息,xī,"rest, put stop to, end, cease",心,61.6,10,2,1973,428.0
火,huǒ,"fire, flame; burn; anger, rage",火,86.0,4,2,164,433.0
早,zǎo,early; soon; morning,日,72.2,6,2,419,462.0
找,zhǎo,"search, seek, look for; find",手,64.4,7,2,621,466.0
吧,ba,emphatic final particle,口,30.4,7,2,747,470.0
考,kǎo,"examine, test; investigate",老,125.0,6,2,358,495.0
红,hóng,"red, vermillion; blush, flush",糸,120.3,6,2,589,502.0
虽,suī,"although, even if",虫,142.3,9,2,1502,504.0
希,xī,"rare; hope, expect, strive for",巾,50.4,7,2,796,508.0
房,fáng,"house, building; room",戶,63.4,8,2,1290,512.0
黑,hēi,"black; dark; evil, sinister",黑,203.0,12,2,2655,519.0
足,zú,"foot; attain, satisfy, enough",足,157.0,7,2,731,527.0
孩,hái,"baby, child; children",子,39.6,9,2,1730,533.0
站,zhàn,"stand up; a stand, station",立,117.5,10,2,2041,544.0
诉,sù,accuse; sue; inform; narrate,言,149.5,7,2,894,595.0
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",十,24.1,3,2,41,599.0
男,nán,"male, man; son; baron; surname",田,102.2,7,2,733,602.0
助,zhù,"help, aid, assist",力,19.5,7,2,719,607.0
乐,lè,"happy, glad; enjoyable; music",丿,4.4,5,2,287,619.0
球,qiú,"ball, sphere, globe; round",玉,96.7,11,2,2155,628.0
错,cuò,"error, blunder, mistake; wrong",金,167.8,13,2,2936,638.0
晚,wǎn,"night, evening; late",日,72.7,11,2,2270,641.0
试,shì,"test, try, experiment",言,149.6,8,2,1286,643.0
送,sòng,"see off, send off; dispatch, give",辵,162.6,9,2,1645,656.0
药,yào,leaf of Dahurian angelica plant; medicine,艸,140.6,9,2,1423,662.0
游,yóu,"to swim; float, drift; wander, roam",水,85.9,12,2,2766,695.0
室,shì,"room, home, house, chamber",宀,40.6,9,2,1697,708.0
您,nín,,心,61.7,11,2,2331,726.0
帮,bāng,"help, assist; defend; shoe upper",巾,50.7,9,2,1356,769.0
左,zuǒ,"left; east; unorthodox, improper",工,48.2,5,2,214,782.0
右,yòu,right; west; right-wing,口,30.2,5,2,217,783.0
穿,chuān,"penetrate, pierce, drill; wear",穴,116.4,9,2,1701,785.0
哥,gē,elder brother,口,30.7,10,2,1852,804.0
弟,dì,"young brother; junior; i, me",弓,57.4,7,2,854,816.0
慢,màn,"slow(ly), leisurely, sluggish",心,61.11,14,2,3169,822.0
忙,máng,"busy, pressed for time; hustling",心,61.3,6,2,543,827.0
介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",人,9.2,4,2,140,831.0
鱼,yú,fish; surname; KangXi radical 195,魚,195.0,8,2,1194,852.0
跑,pǎo,"run, flee, leave in hurry",足,157.5,12,2,2631,864.0
贵,guì,"expensive, costly, valuable",貝,154.5,9,2,1495,873.0
班,bān,"class, group, grade; squad; job",玉,96.6,10,2,1774,884.0
票,piào,slip of paper or bamboo; ticket,示,113.6,11,2,2235,910.0
睛,jīng,eyeball; pupil of eye,目,109.8,13,2,2895,934.0
旅,lǚ,"trip, journey; travel; traveler",方,70.6,10,2,2046,950.0
笔,bǐ,writing brush; write; stroke,竹,118.4,10,2,1951,956.0
卖,mài,sell; betray; show off,十,24.6,8,2,1042,974.0
旁,páng,"side; by side, close by, near",方,70.6,10,2,2045,981.0
阴,yīn,,阜,170.4,6,2,575,987.0
跳,tiào,"jump, leap, vault, bounce; dance",足,157.6,13,2,2915,999.0
雪,xuě,"snow; wipe away shame, avenge",雨,173.3,11,2,2249,1003.0
肉,ròu,flesh; meat; KangXi radical 130,肉,130.0,6,2,443,1009.0
馆,guǎn,public building,食,184.8,11,2,2373,1011.0
牛,niú,"cow, ox, bull; KangXi radical93",牛,93.0,4,2,120,1018.0
纸,zhǐ,paper,糸,120.4,7,2,938,1020.0
歌,gē,"song, lyrics; sing, chant; praise",欠,76.1,14,2,3084,1040.0
床,chuáng,"bed, couch; framework, chassis",广,53.4,7,2,831,1068.0
玩,wán,"play with, joke, enjoy",玉,96.4,8,2,944,1072.0
妻,qī,wife,女,38.5,8,2,1056,1076.0
休,xiū,"rest, stop; retire; do not!",人,9.4,6,2,458,1082.0
舞,wǔ,"dance, posture, prance; brandish",舛,136.8,14,2,3116,1144.0
姓,xìng,,女,38.5,8,2,1327,1149.0
妹,mèi,younger sister,女,38.5,8,2,1324,1185.0
汽,qì,"steam, vapor, gas",水,85.4,7,2,861,1200.0
课,kè,lesson; course; classwork,言,149.8,10,2,2120,1208.0
懂,dǒng,"understand, comprehend",心,61.13,15,2,3300,1211.0
绍,shào,"continue, carry on; join",糸,120.5,8,2,1348,1234.0
丈,zhàng,"unit of length equal 3.3 meters; gentleman, man, husband",一,1.2,3,2,33,1242.0
洗,xǐ,"wash, rinse; clean, purify",水,85.6,9,2,1671,1247.0
唱,chàng,"sing, chant, call; ditty, song",口,30.8,11,2,2284,1252.0
奶,nǎi,,女,38.2,5,2,332,1278.0
宜,yí,"suitable, right, fitting, proper",宀,40.5,8,2,1278,1290.0
累,lèi,"tired; implicate, involve; bother",糸,120.5,11,2,2282,1323.0
羊,yáng,"sheep, goat; KangXi radical 123",羊,123.0,6,2,530,1337.0
零,líng,"zero; fragment, fraction",雨,173.5,13,2,2885,1342.0
蛋,dàn,eggs; term of abuse,虫,142.5,11,2,2477,1387.0
鸡,jī,chicken,鳥,196.2,7,2,928,1391.0
宾,bīn,"guest, visitor; surname; submit",宀,40.7,10,2,2102,1534.0
颜,yán,"face, facial appearance",頁,181.9,15,2,3285,1545.0
瓜,guā,"melon, gourd, cucumber; rad. 97",瓜,97.0,5,2,279,1827.0
晴,qíng,"clear weather, fine weather",日,72.8,12,2,2611,1968.0
啡,fēi,morphine; coffee,口,30.8,11,2,2272,2326.0
篮,lán,basket,竹,118.1,16,2,3357,2357.0
咖,kā,coffee; a phonetic,口,30.5,8,2,1104,2379.0
踢,tī,kick,足,157.8,15,2,3241,2444.0
泳,yǒng,dive; swim,水,85.5,8,2,1257,2607.0
铅,qiān,lead,金,167.5,10,2,1934,2641.0
地,de,"earth; soil, ground; region",土,32.3,6,3,366,21.0
而,ér,and; and then; and yet; but,而,126.0,6,3,392,36.0
于,yú,"in, on, at; go to; surname",二,7.1,3,3,24,40.0
自,zì,"self, private, personal; from",自,132.0,6,3,477,43.0
发,fā,"issue, dispatch, send out; hair",又,29.3,5,3,339,47.0
用,yòng,"use, employ, apply, operate; use",用,101.0,5,3,283,51.0
行,xíng,"go; walk; move, travel; circulate",行,144.0,6,3,483,53.0
种,zhǒng,"seed; race, breed; to plant",禾,115.4,9,3,1549,57.0
成,chéng,"completed, finished, fixed",戈,62.3,6,3,401,59.0
方,fāng,"a square, rectangle; a region; local",方,70.0,4,3,163,60.0
法,fǎ,"law, rule, regulation, statute; France, French",水,85.5,8,3,1241,65.0
如,rú,"if, supposing; as if; like, as",女,38.3,6,3,578,67.0
当,dāng,"bear, accept, undertake; just",小,42.3,6,3,418,71.0
定,dìng,"decide, settle, fix",宀,40.5,8,3,1276,77.0
其,qí,"his, her, its, their; that",八,12.6,8,3,996,85.0
主,zhǔ,"master, chief owner; host; lord",丶,3.4,5,3,300,87.0
理,lǐ,"reason, logic; manage",玉,96.7,11,3,2157,89.0
心,xīn,"heart; mind, intelligence; soul",心,61.0,4,3,174,90.0
只,zhǐ,"only, just, simply",口,30.2,5,3,246,97.0
实,shí,"real, true; honest, sincere",宀,40.5,8,3,1285,100.0
者,zhě,that which; he who; those who,老,125.4,8,3,969,103.0
力,lì,"power, capability, influence",力,19.0,2,3,19,106.0
把,bǎ,"hold, take; guard; regard as",手,64.4,7,3,655,110.0
又,yòu,"and, also, again, in addition",又,29.0,2,3,21,126.0
业,yè,"profession, business; GB radical 111",一,1.4,5,3,231,130.0
重,zhòng,"heavy, weighty; double",里,166.2,9,3,1552,140.0
物,wù,"thing, substance, creature",牛,93.4,8,3,1127,142.0
应,yīng,"should, ought to, must",广,53.4,7,3,836,144.0
向,xiàng,"toward, direction, trend",口,30.3,6,3,480,146.0
头,tóu,"head; top; chief, first; boss",大,37.2,5,3,310,147.0
文,wén,"literature, culture, writing",文,67.0,4,3,161,148.0
相,xiāng,"mutual, reciprocal, each other",目,109.4,9,3,1430,152.0
被,bèi,,衣,145.5,10,3,2118,154.0
或,huò,"or, either, else; perhaps, maybe",戈,62.4,8,3,1035,160.0
己,jǐ,"self, oneself; personal, private; 6th heavenly stem",己,49.0,3,3,60,162.0
加,jiā,"add to, increase, augment",力,19.3,5,3,335,166.0
特,tè,"special, unique, distinguished",牛,93.6,10,3,1938,173.0
信,xìn,"trust, believe; letter",人,9.7,9,3,1570,176.0
化,huà,"change, convert, reform; -ize",匕,21.2,4,3,132,178.0
世,shì,generation; world; era,一,1.4,5,3,206,181.0
位,wèi,"throne; position, post; rank, status; seat",人,9.5,7,3,784,182.0
声,shēng,"sound, voice, noise; tone; music",士,33.4,7,3,654,195.0
提,tí,hold in hand; lift in hand,手,64.9,12,3,2520,196.0
解,jiě,"loosen, unfasten, untie; explain",角,148.6,13,3,2981,201.0
口,kǒu,"mouth; open end; entrance, gate",口,30.0,3,3,38,212.0
平,píng,"flat, level, even; peaceful",干,51.2,5,3,222,215.0
更,gèng,"more, still further, much more",曰,73.3,7,3,693,221.0
变,biàn,"change, transform, alter; rebel",又,29.6,8,3,1204,225.0
总,zǒng,"collect; overall, altogether",八,12.7,9,3,1654,228.0
数,shù,"number; several, count; fate",攴,66.9,13,3,2999,231.0
安,ān,"peaceful, tranquil, quiet",宀,40.3,6,3,549,232.0
才,cái,"talent, ability; just, only",手,64.0,3,3,29,235.0
结,jié,"knot, tie; join, connect",糸,120.6,9,3,1754,236.0
目,mù,"eye; look, see; division, topic",目,109.0,5,3,236,239.0
感,gǎn,"feel, perceive, emotion",心,61.9,13,3,2875,243.0
接,jiē,receive; continue; catch; connect,手,64.8,11,3,2185,247.0
必,bì,"surely, most certainly; must",心,61.1,5,3,321,248.0
市,shì,"market, fair; city, town; trade",巾,50.2,5,3,301,254.0
直,zhí,"straight, erect, vertical",目,109.3,8,3,1011,255.0
山,shān,"mountain, hill, peak",山,46.0,3,3,39,259.0
空,kōng,"empty, hollow, bare, deserted",穴,116.3,8,3,1282,272.0
决,jué,"decide, determine, judge",冫,15.4,6,3,523,273.0
马,mǎ,horse; surname; KangXi radical 187,馬,187.0,3,3,72,276.0
界,jiè,"boundary, limit; domain; society; the world",田,102.4,9,3,1496,288.0
放,fàng,"put, release, free, liberate",攴,66.4,8,3,1223,291.0
像,xiàng,"a picture, image, figure; to resemble",人,9.12,13,3,2961,294.0
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",一,1.4,5,3,237,296.0
难,nán,"difficult, arduous, hard; unable",又,29.8,10,3,2147,295.0
记,jì,"record; keep in mind, remember",言,149.3,5,3,323,306.0
南,nán,south; southern part; southward,十,24.7,9,3,1422,307.0
求,qiú,"seek; demand, request; beseech",水,85.2,7,3,690,312.0
据,jù,"to occupy, take possession of; a base, position",手,64.8,11,3,2189,313.0
张,zhāng,"stretch, extend, expand; sheet",弓,57.4,7,3,909,318.0
该,gāi,"should, ought to, need to",言,149.6,8,3,1300,319.0
万,wàn,ten thousand; innumerable,一,1.2,3,3,35,322.0
清,qīng,"clear, pure, clean; peaceful",水,85.8,11,3,2410,335.0
带,dài,"belt, girdle, band, strap, zone",巾,50.6,9,3,1407,342.0
风,fēng,"wind; air; manners, atmosphere",風,182.0,4,3,154,348.0
根,gēn,"root, base(d on); foundation",木,75.6,10,3,1850,352.0
干,gàn,"oppose, offend; invade; dried",干,51.0,3,3,23,353.0
极,jí,"extreme, utmost, furthest, final",木,75.3,7,3,687,363.0
办,bàn,"manage, do, handle; deal with",力,19.2,4,3,181,367.0
议,yì,"consult, talk over, discuss",言,149.3,5,3,320,368.0
元,yuán,first; dollar; origin; head,儿,10.2,4,3,80,370.0
单,dān,"single, individual, only; lone",八,12.6,8,3,1232,389.0
调,diào,"transfer, move, change; tune",言,149.8,10,3,2123,400.0
算,suàn,"count, calculate, figure; plan",竹,118.8,14,3,3121,403.0
需,xū,"need, require, must",雨,173.6,14,3,3095,408.0
花,huā,flower; blossoms,艸,140.4,7,3,665,410.0
城,chéng,"castle; city, town; municipality",土,32.7,9,3,1373,413.0
级,jí,"level, rank, class; grade",糸,120.3,6,3,594,415.0
复,fù,return; repeat; repeatedly,夊,35.6,9,3,1553,426.0
满,mǎn,"fill; full, satisfied",水,85.1,13,3,3005,436.0
越,yuè,"exceed, go beyond; the more ...",走,156.5,12,3,2514,440.0
容,róng,"looks, appearance; figure, form",宀,40.7,10,3,2105,442.0
照,zhào,"shine, illumine, reflect",火,86.9,13,3,2911,443.0
须,xū,"must, have to, necessary",彡,59.6,9,3,1585,444.0
包,bāo,"wrap, pack, bundle; package",勹,20.3,5,3,298,454.0
片,piàn,"slice, splinter, strip; rad. 91",片,91.0,4,3,130,455.0
史,shǐ,"history, chronicle, annals",口,30.2,5,3,248,456.0
乎,hū,interrogative or exclamatory final particle,丿,4.4,5,3,280,458.0
查,chá,"investigate, examine, seek into",木,75.5,9,3,1431,459.0
轻,qīng,"light; easy, simple; gentle",車,159.5,9,3,1463,460.0
易,yì,change; easy,日,72.4,8,3,1088,461.0
除,chú,"eliminate, remove, except",阜,170.7,9,3,1732,464.0
阿,ā,,阜,170.5,7,3,913,471.0
李,lǐ,plum; judge; surname,木,75.3,7,3,688,472.0
图,tú,"diagram; chart, map, picture",囗,31.5,8,3,1119,476.0
历,lì,history; calendar,厂,27.2,4,3,95,480.0
突,tū,"suddenly, abruptly, unexpectedly",穴,116.4,9,3,1700,484.0
周,zhōu,Zhou dynasty; circumference,口,30.5,8,3,1192,490.0
较,jiào,"compare; comparatively, more",車,159.6,10,3,1876,491.0
注,zhù,"concentrate, focus, direct",水,85.5,8,3,1252,492.0
选,xuǎn,"choose, select; elect; election",辵,162.6,9,3,1545,499.0
响,xiǎng,"make sound, make noise; sound",口,30.6,9,3,1509,503.0
参,cān,"take part in, intervene; ginseng",厶,28.6,8,3,1334,507.0
半,bàn,half,十,24.3,5,3,307,513.0
节,jié,"knot, node, joint; section",艸,140.2,5,3,209,514.0
护,hù,"protect, guard, defend, shelter",手,64.4,7,3,649,529.0
音,yīn,"sound, tone, pitch, pronunciation",音,180.0,9,3,1632,540.0
跟,gēn,"heel; to follow, accompany; with",足,157.6,13,3,2920,541.0
留,liú,"stop, halt; stay, detain, keep",田,102.5,10,3,2009,554.0
讲,jiǎng,explain; discuss; talk,言,149.4,6,3,550,555.0
料,liào,"consider, conjecture; materials, ingredients",斗,68.6,10,3,2054,557.0
终,zhōng,"end; finally, in the end",糸,120.5,8,3,1344,558.0
答,dá,"answer, reply; return; assent to",竹,118.6,12,3,2687,559.0
黄,huáng,yellow; surname,黃,201.0,11,3,2201,561.0
奇,qí,"strange, unusual, uncanny, occult",大,37.5,8,3,1050,563.0
段,duàn,"section, piece, division",殳,79.5,9,3,1555,567.0
故,gù,"ancient, old; reason, because",攴,66.5,9,3,1418,572.0
河,hé,river; stream; yellow river,水,85.5,8,3,1244,574.0
害,hài,"injure, harm; destroy, kill",宀,40.7,10,3,2097,579.0
双,shuāng,"set of two, pair, couple; both",又,29.2,4,3,187,581.0
境,jìng,"boundary, frontier; area, region",土,32.11,14,3,3061,582.0
愿,yuàn,"sincere, honest, virtuous",心,61.1,14,3,3094,598.0
网,wǎng,net; network; KangXi radical 122,网,122.0,6,3,442,605.0
育,yù,"produce, give birth to; educate",肉,130.4,8,3,1225,609.0
船,chuán,"ship, boat, vessel",舟,137.5,11,3,2345,614.0
脸,liǎn,face; cheek; reputation,肉,130.7,11,3,2359,615.0
刻,kè,"carve, engrave; quarter hour",刀,18.6,8,3,1224,618.0
刚,gāng,"hard, tough, rigid, strong",刀,18.4,6,3,441,621.0
般,bān,"sort, manner, kind, category",舟,137.4,10,3,1980,629.0
怕,pà,"to fear, be afraid of; apprehensive",心,61.5,8,3,1269,631.0
假,jiǎ,"falsehood, deception; vacation",人,9.9,11,3,2337,636.0
久,jiǔ,"long time (ago); time passage, grow late",丿,4.2,3,3,47,637.0
拿,ná,"take, hold, grasp; bring; with",手,64.6,10,3,1983,645.0
阳,yáng,,阜,170.4,6,3,572,650.0
急,jí,"quick, quickly; urgent, pressing",心,61.5,9,3,1609,657.0
居,jū,"live, dwell, reside, sit",尸,44.5,8,3,1308,678.0
环,huán,jade ring or bracelet; ring,玉,96.4,8,3,945,681.0
树,shù,"tree; plant; set up, establish",木,75.5,9,3,1439,697.0
